DateTime_Out,Line,Feed,OutputGood,Scrap
2018-01-08 22:00:00,3,10084,9990,94
2018-01-08 22:00:00,4,9676,9612,64
2018-01-08 23:00:00,3,8356,8316,40
2018-01-08 23:00:00,4,10897,10644,253
2018-01-09 00:00:00,3,7656,7668,-12
2018-01-09 00:00:00,4,10504,10314,190
2018-01-09 01:00:00,3,10205,9976,229
2018-01-09 01:00:00,4,2472,2592,-120
2018-01-09 02:00:00,3,10124,10098,26
2018-01-09 02:00:00,4,10508,10044,464
2018-01-09 03:00:00,3,5400,5346,54
2018-01-09 03:00:00,4,8736,8640,96
2018-01-09 04:00:00,3,6100,6048,52
2018-01-09 04:00:00,4,9488,9288,200
2018-01-09 05:00:00,3,10592,10530,62
2018-01-09 05:00:00,4,8656,8478,178
2018-01-09 06:00:00,3,10536,10476,60
2018-01-09 06:00:00,4,10384,10260,124
2018-01-09 07:00:00,3,9932,9828,104
2018-01-09 07:00:00,4,9700,9450,250
2018-01-09 08:00:00,3,9909,9720,189
2018-01-09 08:00:00,4,9542,9416,126
2018-01-09 09:00:00,3,9188,9024,164
2018-01-09 09:00:00,4,8936,8910,26
2018-01-09 10:00:00,3,9712,9612,100
2018-01-09 10:00:00,4,10312,10044,268
2018-01-09 11:00:00,3,9852,9666,186
2018-01-09 11:00:00,4,10412,10260,152
2018-01-09 12:00:00,3,10116,10044,72
2018-01-09 12:00:00,4,8808,8640,168
2018-01-09 13:00:00,3,10108,10044,64
2018-01-09 13:00:00,4,9772,9666,106
2018-01-09 14:00:00,3,9916,9828,88
2018-01-09 14:00:00,4,9772,9774,-2
2018-01-09 15:00:00,3,10365,10178,187
2018-01-09 15:00:00,4,8714,8356,358
2018-01-09 16:00:00,3,9640,9558,82
2018-01-09 16:00:00,4,9708,9558,150
2018-01-09 17:00:00,3,9476,9396,80
2018-01-09 17:00:00,4,9948,9666,282
2018-01-09 18:00:00,3,9124,8964,160
2018-01-09 18:00:00,4,9248,9072,176
2018-01-09 19:00:00,3,9788,9558,230
2018-01-09 19:00:00,4,10076,9990,86
2018-01-09 20:00:00,3,9004,8802,202
2018-01-09 20:00:00,4,10664,10476,188
2018-01-09 21:00:00,3,9764,9666,98
2018-01-09 21:00:00,4,9860,9774,86
2018-01-09 22:00:00,3,10469,10252,217
2018-01-09 22:00:00,4,9618,9402,216
2018-01-09 23:00:00,3,10272,10044,228
2018-01-09 23:00:00,4,10800,10692,108
2018-01-10 00:00:00,3,10200,10044,156
2018-01-10 00:00:00,4,10628,10530,98
2018-01-10 01:00:00,3,10140,10098,42
2018-01-10 01:00:00,4,10276,10152,124
2018-01-10 02:00:00,3,9172,8910,262
2018-01-10 02:00:00,4,10376,10206,170
2018-01-10 03:00:00,3,10028,9828,200
2018-01-10 03:00:00,4,10656,10476,180
2018-01-10 04:00:00,3,9717,9666,51
2018-01-10 04:00:00,4,10662,10530,132
2018-01-10 05:00:00,3,9656,9516,140
2018-01-10 05:00:00,4,10396,10232,164
2018-01-10 06:00:00,3,10948,10800,148
2018-01-10 06:00:00,4,9496,9342,154
2018-01-10 07:00:00,3,10284,10098,186
2018-01-10 07:00:00,4,10528,10422,106
2018-01-10 08:00:00,3,9724,9612,112
2018-01-10 08:00:00,4,9852,9558,294
2018-01-10 09:00:00,3,9264,9180,84
2018-01-10 09:00:00,4,1958,2430,-472
2018-01-10 10:00:00,3,9708,9558,150
2018-01-10 10:00:00,4,3734,3024,710
2018-01-10 11:00:00,3,8265,8100,165
2018-01-10 11:00:00,4,10760,10530,230
2018-01-10 12:00:00,3,9627,9320,307
2018-01-10 12:00:00,4,10188,10044,144
2018-01-10 13:00:00,3,1198,1674,-476
2018-01-10 13:00:00,4,10304,10152,152
2018-01-10 14:00:00,3,1282,594,688
2018-01-10 14:00:00,4,8356,8262,94
2018-01-10 15:00:00,3,9900,9882,18
2018-01-10 15:00:00,4,9900,9828,72
2018-01-10 16:00:00,3,6192,6102,90
2018-01-10 16:00:00,4,10208,10098,110
2018-01-10 17:00:00,3,4840,4698,142
2018-01-10 17:00:00,4,10406,10280,126
2018-01-10 18:00:00,3,8804,8640,164
2018-01-10 18:00:00,4,8824,8694,130
2018-01-10 19:00:00,3,9372,9288,84
2018-01-10 19:00:00,4,9816,9612,204
2018-01-10 20:00:00,3,10612,10422,190
2018-01-10 20:00:00,4,9542,9396,146
2018-01-10 21:00:00,3,10348,10152,196
2018-01-10 21:00:00,4,9208,9126,82
2018-01-10 22:00:00,3,9914,9686,228
2018-01-10 22:00:00,4,9276,9072,204
2018-01-10 23:00:00,3,9456,9342,114
2018-01-10 23:00:00,4,9924,9720,204
2018-01-11 00:00:00,3,9596,9396,200
2018-01-11 00:00:00,4,9916,9760,156
2018-01-11 01:00:00,3,10736,10530,206
2018-01-11 01:00:00,4,9028,8856,172
2018-01-11 02:00:00,3,10376,10260,116
2018-01-11 02:00:00,4,9772,9612,160
2018-01-11 03:00:00,3,10360,10206,154
2018-01-11 03:00:00,4,10568,10476,92
2018-01-11 04:00:00,3,10094,9990,104
2018-01-11 04:00:00,4,8916,8748,168
2018-01-11 05:00:00,3,10280,10138,142
2018-01-11 05:00:00,4,9464,9342,122
2018-01-11 06:00:00,3,10212,10152,60
2018-01-11 06:00:00,4,8548,8424,124
2018-01-11 07:00:00,3,9984,9720,264
2018-01-11 07:00:00,4,8652,8538,114
2018-01-11 08:00:00,3,9544,9396,148
2018-01-11 08:00:00,4,9840,9666,174
2018-01-11 09:00:00,3,8852,8802,50
2018-01-11 09:00:00,4,9820,9720,100
2018-01-11 10:00:00,3,10592,10530,62
2018-01-11 10:00:00,4,9656,9396,260
2018-01-11 11:00:00,3,10318,10104,214
2018-01-11 11:00:00,4,10208,10098,110
2018-01-11 12:00:00,3,10604,10584,20
2018-01-11 12:00:00,4,6716,6804,-88
2018-01-11 13:00:00,3,10200,10044,156
2018-01-11 13:00:00,4,6332,5778,554
2018-01-11 14:00:00,3,8364,8262,102
2018-01-11 14:00:00,4,9484,9314,170
2018-01-11 15:00:00,3,8320,8262,58
2018-01-11 15:00:00,4,9740,9612,128
2018-01-11 16:00:00,3,10468,10368,100
2018-01-11 16:00:00,4,9012,8802,210
2018-01-11 17:00:00,3,10184,10098,86
2018-01-11 17:00:00,4,9680,9612,68
2018-01-11 18:00:00,3,10014,9908,106
2018-01-11 18:00:00,4,7492,7290,202
2018-01-11 19:00:00,3,10464,10314,150
2018-01-11 19:00:00,4,9296,9072,224
2018-01-11 20:00:00,3,10504,10476,28
2018-01-11 20:00:00,4,2240,2052,188
2018-01-11 21:00:00,3,10124,10044,80
2018-01-11 21:00:00,4,10572,10368,204
2018-01-11 22:00:00,3,10220,10206,14
2018-01-11 22:00:00,4,9548,9450,98
2018-01-11 23:00:00,3,10088,9936,152
2018-01-11 23:00:00,4,10280,10098,182
2018-01-12 00:00:00,3,10518,10476,42
2018-01-12 00:00:00,4,10512,10368,144
2018-01-12 01:00:00,3,10712,10576,136
2018-01-12 01:00:00,4,10192,10044,148
2018-01-12 02:00:00,3,10504,10422,82
2018-01-12 02:00:00,4,10268,10098,170
2018-01-12 03:00:00,3,10396,10314,82
2018-01-12 03:00:00,4,9074,8822,252
2018-01-12 04:00:00,3,10428,10368,60
2018-01-12 04:00:00,4,8856,8640,216
2018-01-12 05:00:00,3,10664,10638,26
2018-01-12 05:00:00,4,9652,9396,256
2018-01-12 06:00:00,3,10778,10584,194
2018-01-12 06:00:00,4,10448,10206,242
2018-01-12 07:00:00,3,10204,10164,40
2018-01-12 07:00:00,4,9988,9828,160
2018-01-12 08:00:00,3,9836,9774,62
2018-01-12 08:00:00,4,9288,9180,108
2018-01-12 09:00:00,3,10260,10152,108
2018-01-12 09:00:00,4,10344,10260,84
2018-01-12 10:00:00,3,10080,10044,36
2018-01-12 10:00:00,4,8482,8302,180
2018-01-12 11:00:00,3,9620,9558,62
2018-01-12 11:00:00,4,68,162,-94
2018-01-12 12:00:00,3,10284,10260,24
2018-01-12 12:00:00,4,1752,1512,240
2018-01-12 13:00:00,3,10102,9968,134
2018-01-12 13:00:00,4,784,1978,-1194
2018-01-12 14:00:00,3,10184,10152,32
2018-01-12 14:00:00,4,8675,8640,35
2018-01-12 15:00:00,3,4674,5076,-402
2018-01-12 15:00:00,4,10636,10476,160
2018-01-12 16:00:00,4,10684,10530,154
2018-01-12 17:00:00,4,2676,3024,-348
2018-01-12 18:00:00,4,1433,918,515
2018-01-12 19:00:00,3,4073,3456,617
2018-01-12 19:00:00,4,9744,9666,78
2018-01-12 20:00:00,3,10148,9990,158
2018-01-12 20:00:00,4,9960,9882,78
2018-01-12 21:00:00,3,10640,10638,2
2018-01-12 21:00:00,4,4990,5244,-254
2018-01-12 22:00:00,3,10416,10368,48
2018-01-12 22:00:00,4,3550,2862,688
2018-01-12 23:00:00,3,10508,10422,86
2018-01-12 23:00:00,4,9944,9882,62
2018-01-13 00:00:00,3,10624,10530,94
2018-01-13 00:00:00,4,10568,10476,92
2018-01-13 01:00:00,3,10178,10098,80
2018-01-13 01:00:00,4,10416,10368,48
2018-01-13 02:00:00,3,10580,10496,84
2018-01-13 02:00:00,4,10424,10206,218
2018-01-13 03:00:00,3,10588,10476,112
2018-01-13 03:00:00,4,9536,9450,86
2018-01-13 04:00:00,3,10332,10206,126
2018-01-13 04:00:00,4,10268,10152,116
2018-01-13 05:00:00,3,10836,10746,90
2018-01-13 05:00:00,4,10062,9794,268
2018-01-13 06:00:00,3,10624,10530,94
2018-01-13 06:00:00,4,9944,9828,116
2018-01-13 07:00:00,3,10440,10422,18
2018-01-13 07:00:00,4,9776,9666,110
2018-01-13 08:00:00,3,10564,10408,156
2018-01-13 08:00:00,4,10332,10098,234
2018-01-13 09:00:00,3,10112,10152,-40
2018-01-13 09:00:00,4,10088,9990,98
2018-01-13 10:00:00,3,10676,10476,200
2018-01-13 10:00:00,4,10500,10314,186
2018-01-13 11:00:00,3,10548,10422,126
2018-01-13 11:00:00,4,10774,10624,150
2018-01-13 12:00:00,3,9692,9558,134
2018-01-13 12:00:00,4,10576,10368,208
2018-01-13 13:00:00,3,10024,9936,88
2018-01-13 13:00:00,4,10396,10152,244
2018-01-13 14:00:00,3,9264,9078,186
2018-01-13 14:00:00,4,10364,10206,158
2018-01-13 15:00:00,3,10512,10368,144
2018-01-13 15:00:00,4,10156,9936,220
2018-01-13 16:00:00,3,10800,10746,54
2018-01-13 16:00:00,4,10480,10260,220
2018-01-13 17:00:00,3,10496,10368,128
2018-01-13 17:00:00,4,9818,9504,314
2018-01-13 18:00:00,3,10632,10476,156
2018-01-13 18:00:00,4,10808,10482,326
2018-01-13 19:00:00,3,10260,10206,54
2018-01-13 19:00:00,4,9664,9450,214
2018-01-13 20:00:00,3,9804,9558,246
2018-01-13 20:00:00,4,10616,10368,248
2018-01-13 21:00:00,3,10700,10502,198
2018-01-13 21:00:00,4,10428,10044,384
2018-01-13 22:00:00,3,10952,10908,44
2018-01-13 22:00:00,4,7180,7020,160
2018-01-13 23:00:00,3,10884,10746,138
2018-01-13 23:00:00,4,9324,9018,306
2018-01-14 00:00:00,3,10648,10530,118
2018-01-14 00:00:00,4,7666,7614,52
2018-01-14 01:00:00,3,10840,10692,148
2018-01-14 01:00:00,4,10488,10340,148
2018-01-14 02:00:00,3,10636,10476,160
2018-01-14 02:00:00,4,9872,9720,152
2018-01-14 03:00:00,3,10328,10252,76
2018-01-14 03:00:00,4,10364,10260,104
2018-01-14 04:00:00,3,10464,10260,204
2018-01-14 04:00:00,4,10604,10584,20
2018-01-14 05:00:00,3,10108,9882,226
2018-01-14 05:00:00,4,9676,9396,280
2018-01-14 06:00:00,3,9996,9774,222
2018-01-14 06:00:00,4,8521,8532,-11
2018-01-14 07:00:00,3,10172,10044,128
2018-01-14 07:00:00,4,7199,7020,179
2018-01-14 08:00:00,3,9844,9612,232
2018-01-14 08:00:00,4,10380,10306,74
2018-01-14 09:00:00,3,10868,10596,272
2018-01-14 09:00:00,4,10516,10314,202
2018-01-14 10:00:00,3,9760,9720,40
2018-01-14 10:00:00,4,10560,10476,84
2018-01-14 11:00:00,3,10648,10422,226
2018-01-14 11:00:00,4,10624,10584,40
2018-01-14 12:00:00,3,10570,10422,148
2018-01-14 12:00:00,4,10544,10368,176
2018-01-14 13:00:00,3,9068,9018,50
2018-01-14 13:00:00,4,8764,8802,-38
2018-01-14 14:00:00,3,5356,5346,10
2018-01-14 14:00:00,4,5459,5292,167
2018-01-14 15:00:00,3,10478,10368,110
2018-01-14 15:00:00,4,10656,10434,222
2018-01-14 16:00:00,3,10624,10454,170
2018-01-14 16:00:00,4,10720,10584,136
2018-01-14 17:00:00,3,10548,10368,180
2018-01-14 17:00:00,4,10820,10692,128
2018-01-14 18:00:00,3,3666,4050,-384
2018-01-14 18:00:00,4,9580,9396,184
2018-01-14 19:00:00,4,11052,10962,90
2018-01-14 20:00:00,4,10055,9990,65
2018-01-14 21:00:00,4,10772,10508,264
2018-01-14 22:00:00,4,4130,4590,-460
2018-01-15 01:00:00,3,3332,2646,686
2018-01-15 01:00:00,4,4450,3942,508
2018-01-15 02:00:00,3,7901,7992,-91
2018-01-15 02:00:00,4,9144,8856,288
2018-01-15 03:00:00,3,8632,8370,262
2018-01-15 03:00:00,4,10848,10746,102
2018-01-15 04:00:00,3,10448,10260,188
2018-01-15 04:00:00,4,9988,9882,106
2018-01-15 05:00:00,3,10324,10206,118
2018-01-15 05:00:00,4,10424,10206,218
2018-01-15 06:00:00,3,9728,9504,224
2018-01-15 06:00:00,4,10348,10206,142
2018-01-15 07:00:00,3,9674,9558,116
2018-01-15 07:00:00,4,9600,9504,96
2018-01-15 08:00:00,3,9599,9362,237
2018-01-15 08:00:00,4,9864,9578,286
2018-01-15 09:00:00,3,5958,5940,18
2018-01-15 09:00:00,4,10312,10098,214
2018-01-15 10:00:00,3,6899,6588,311
