Line,Staff,DateTime_Out,DateTime_Out2
1,4,2018-03-02 14:00:00,2018-03-02 23:00:00
1,3,2018-03-02 22:00:00,2018-03-03 06:00:00
1,4,2018-03-02 22:00:00,2018-03-03 06:00:00
1,3,2018-03-03 06:00:00,2018-03-03 10:00:00
1,4,2018-03-03 06:00:00,2018-03-03 15:00:00
1,5,2018-03-03 10:00:00,2018-03-03 15:00:00
1,4,2018-03-03 14:00:00,2018-03-03 16:00:00
1,5,2018-03-03 14:00:00,2018-03-03 22:00:00
1,1,2018-03-03 16:00:00,2018-03-03 22:00:00
1,3,2018-03-03 16:00:00,2018-03-03 22:00:00
1,1,2018-03-03 22:00:00,2018-03-03 22:00:00
1,3,2018-03-03 22:00:00,2018-03-03 22:00:00
1,5,2018-03-03 22:00:00,2018-03-03 22:00:00
1,4,2018-03-03 22:00:00,2018-03-04 06:00:00
1,4,2018-03-04 06:00:00,2018-03-04 15:00:00
1,4,2018-03-04 14:00:00,2018-03-04 23:00:00
1,4,2018-03-04 22:00:00,2018-03-05 06:00:00
1,4,2018-03-05 06:00:00,2018-03-05 15:00:00
1,5,2018-03-05 06:00:00,2018-03-05 15:00:00
1,4,2018-03-05 14:00:00,2018-03-05 22:00:00
1,5,2018-03-05 14:00:00,2018-03-05 22:00:00
1,4,2018-03-05 22:00:00,2018-03-05 22:00:00
1,5,2018-03-05 22:00:00,2018-03-05 22:00:00
1,3,2018-03-05 22:00:00,2018-03-06 06:00:00
1,3,2018-03-06 06:00:00,2018-03-06 15:00:00
1,3,2018-03-06 14:00:00,2018-03-06 23:00:00
1,3,2018-03-06 22:00:00,2018-03-07 06:00:00
1,3,2018-03-07 06:00:00,2018-03-07 15:00:00
1,3,2018-03-07 14:00:00,2018-03-07 23:00:00
1,3,2018-03-07 22:00:00,2018-03-08 06:00:00
1,3,2018-03-08 06:00:00,2018-03-08 07:00:00
1,4,2018-03-08 07:00:00,2018-03-08 15:00:00
1,4,2018-03-08 14:00:00,2018-03-08 23:00:00
1,4,2018-03-08 22:00:00,2018-03-09 06:00:00
1,4,2018-03-09 06:00:00,2018-03-09 15:00:00
1,2,2018-03-09 13:00:00,2018-03-09 15:00:00
1,3,2018-03-09 13:00:00,2018-03-09 15:00:00
1,2,2018-03-09 14:00:00,2018-03-09 20:00:00
1,3,2018-03-09 14:00:00,2018-03-09 20:00:00
1,4,2018-03-09 14:00:00,2018-03-09 23:00:00
1,4,2018-03-09 22:00:00,2018-03-10 06:00:00
1,4,2018-03-10 06:00:00,2018-03-10 15:00:00
1,4,2018-03-10 14:00:00,2018-03-10 23:00:00
1,4,2018-03-10 22:00:00,2018-03-11 06:00:00
1,4,2018-03-11 06:00:00,2018-03-11 12:00:00
1,3,2018-03-11 12:00:00,2018-03-11 15:00:00
1,3,2018-03-11 14:00:00,2018-03-11 23:00:00
1,3,2018-03-11 22:00:00,2018-03-12 06:00:00
1,3,2018-03-12 06:00:00,2018-03-12 15:00:00
1,3,2018-03-12 14:00:00,2018-03-12 23:00:00
1,3,2018-03-12 22:00:00,2018-03-13 06:00:00
1,3,2018-03-13 06:00:00,2018-03-13 15:00:00
