	Line	ProductDescription	DateTime_Out	Feed	OutputGood	Scrap	Error_Count	Sum_Duration	Sum_Staff
334	1	1	2018-01-17 16:00:00	8330	8154	176	17	222	4
335	1	1	2018-01-17 17:00:00	9683	9558	125	25	1402	4
336	1	1	2018-01-17 18:00:00	10022	9936	86	26	414	4
337	1	1	2018-01-17 19:00:00	8372	8316	56	35	350	4
338	1	1	2018-01-17 20:00:00	8631	8532	99	28	242	4
339	1	1	2018-01-17 21:00:00	9556	9720	-164	28	538	4
340	1	1	2018-01-17 22:00:00	9708	9450	258	25	1476	8
341	1	1	2018-01-17 23:00:00	1280	1134	146	23	272	8
342	1	1	2018-01-18 00:00:00	924	1080	-156	70	5908	3
343	1	1	2018-01-18 01:00:00	8939	9018	-79	8	2224	4
344	1	1	2018-01-18 02:00:00	6544	6372	172	75	678	4
345	1	1	2018-01-18 03:00:00	8520	8478	42	99	1726	4
346	1	1	2018-01-18 04:00:00	4807	4752	55	62	512	4
347	1	1	2018-01-18 05:00:00	9188	9180	8	46	2088	4
348	1	1	2018-01-18 06:00:00	7111	7020	91	98	496	8
349	1	1	2018-01-18 07:00:00	9071	8910	161	95	1260	4
350	1	1	2018-01-18 08:00:00	9560	9450	110	28	31068	4
351	1	1	2018-01-18 09:00:00	9171	9018	153	44	614	4
352	1	1	2018-01-18 10:00:00	4164	4608	-444	50	508	4
353	1	1	2018-01-18 14:00:00	1826	1242	584	30	3810	8
354	1	1	2018-01-18 15:00:00	8543	8262	281	2	1902	8
355	1	1	2018-01-18 16:00:00	8831	8802	29	7	2978	4
356	1	1	2018-01-18 17:00:00	9962	9774	188	58	854	4
357	1	1	2018-01-18 18:00:00	9216	9180	36	38	260	4
358	1	1	2018-01-18 19:00:00	9727	9558	169	29	288	4
359	1	1	2018-01-18 20:00:00	8586	8532	54	30	1392	4
360	1	1	2018-01-18 21:00:00	9582	9450	132	36	590	4
361	1	1	2018-01-18 22:00:00	9289	9072	217	26	276	8
362	1	1	2018-01-18 23:00:00	8726	8856	-130	37	284	12
363	1	1	2018-01-19 00:00:00	9471	9234	237	45	460	4
364	1	1	2018-01-19 01:00:00	10387	10260	127	35	286	4
365	1	1	2018-01-19 02:00:00	6396	6858	-462	45	356	4
366	1	1	2018-01-19 03:00:00	5239	4644	595	48	932	4
367	1	1	2018-01-19 04:00:00	9450	9288	162	63	902	4
368	1	1	2018-01-19 05:00:00	9243	9180	63	36	312	4
369	1	1	2018-01-19 06:00:00	7880	7938	-58	22	136	8
370	1	1	2018-01-19 07:00:00	7138	7074	64	41	326	4
371	1	1	2018-01-19 08:00:00	6718	6426	292	24	2702	4
372	1	1	2018-01-19 09:00:00	8819	8856	-37	9	1476	4
373	1	1	2018-01-19 10:00:00	10480	10314	166	63	328	4
374	1	1	2018-01-19 11:00:00	10044	9936	108	26	248	4
375	1	1	2018-01-19 12:00:00	7707	7614	93	35	298	4
376	1	1	2018-01-19 13:00:00	6419	6318	101	21	800	4
377	1	1	2018-01-19 14:00:00	7240	7128	112	31	380	8
378	1	1	2018-01-19 15:00:00	9806	9774	32	18	184	8
379	1	1	2018-01-19 16:00:00	8260	8154	106	37	632	4
380	1	1	2018-01-19 17:00:00	8636	8694	-58	37	204	4
381	1	1	2018-01-19 18:00:00	8108	7938	170	42	344	4
382	1	1	2018-01-19 19:00:00	8059	8046	13	42	488	4
383	1	1	2018-01-19 20:00:00	10016	9828	188	41	608	4
384	1	1	2018-01-19 21:00:00	1286	1350	-64	34	868	4
385	1	1	2018-01-19 22:00:00	6667	6750	-83	26	3638	8
386	1	1	2018-01-20 06:00:00	680	486	194	26	256	8
387	1	1	2018-01-20 07:00:00	6944	6912	32	39	346	4
388	1	1	2018-01-20 08:00:00	8992	8910	82	34	476	4
389	1	1	2018-01-20 09:00:00	9608	9612	-4	67	922	4
390	1	1	2018-01-20 10:00:00	9348	9234	114	43	490	4
391	1	1	2018-01-20 11:00:00	7512	7398	114	34	232	4
392	1	1	2018-01-20 12:00:00	8806	8694	112	49	552	4
393	1	1	2018-01-20 13:00:00	8579	8532	47	38	256	4
394	1	1	2018-01-20 14:00:00	7367	7848	-481	41	546	8
395	1	1	2018-01-21 06:00:00	1958	1296	662	40	618	8
396	1	1	2018-01-21 07:00:00	4321	4320	1	38	296	4
397	1	1	2018-01-21 08:00:00	8972	8910	62	37	360	4
398	1	1	2018-01-21 09:00:00	8658	8586	72	67	476	4
399	1	1	2018-01-21 10:00:00	9301	9234	67	50	364	4
400	1	1	2018-01-21 11:00:00	8820	8748	72	57	522	4
401	1	1	2018-01-21 12:00:00	7308	7236	72	34	274	4
402	1	1	2018-01-21 13:00:00	8336	8262	74	25	224	4
403	1	1	2018-01-21 14:00:00	3058	3564	-506	32	438	8
404	1	7	2018-01-21 15:00:00	710	108	602	26	268	8
405	1	7	2018-01-21 16:00:00	7903	7884	19	57	788	4
406	1	7	2018-01-21 17:00:00	9696	9828	-132	36	814	4
407	1	7	2018-01-21 18:00:00	10460	10206	254	70	1176	4
408	1	7	2018-01-21 19:00:00	8981	8910	71	68	612	4
409	1	7	2018-01-21 20:00:00	9579	9558	21	32	3984	4
410	1	7	2018-01-21 21:00:00	7802	7776	26	50	584	4
411	1	7	2018-01-21 22:00:00	8940	8802	138	51	396	13
