Line,Staff,StartTime,EndTime
1,1,2018-02-16 22:54:21,2018-02-17 06:40:00
1,1,2018-02-17 06:30:01,2018-02-17 15:00:01
1,3,2018-02-17 06:30:03,2018-02-17 15:00:03
1,1,2018-02-17 14:50:01,2018-02-17 15:26:52
1,3,2018-02-17 14:50:03,2018-02-17 15:26:54
1,4,2018-02-17 15:27:00,2018-02-17 23:00:00
1,4,2018-02-17 22:50:04,2018-02-18 06:40:00
1,1,2018-02-17 23:02:39,2018-02-18 06:40:00
1,1,2018-02-18 06:30:01,2018-02-18 15:00:00
1,4,2018-02-18 06:30:04,2018-02-18 14:47:28
1,3,2018-02-18 14:47:31,2018-02-18 15:00:00
1,1,2018-02-18 14:50:01,2018-02-18 15:29:12
1,3,2018-02-18 14:50:03,2018-02-18 23:00:00
1,4,2018-02-18 19:55:48,2018-02-18 23:00:00
1,3,2018-02-18 22:50:03,2018-02-19 06:40:00
1,4,2018-02-18 22:50:04,2018-02-19 04:03:12
1,3,2018-02-19 06:30:03,2018-02-19 15:00:00
1,1,2018-02-19 06:40:13,2018-02-19 15:00:00
1,1,2018-02-19 14:50:01,2018-02-19 21:45:00
1,3,2018-02-19 14:50:03,2018-02-19 21:44:58
1,4,2018-02-19 21:45:04,2018-02-19 23:00:00
1,4,2018-02-19 22:50:04,2018-02-20 06:40:04
1,4,2018-02-20 06:30:04,2018-02-20 13:42:32
1,3,2018-02-20 13:42:35,2018-02-20 15:00:00
1,3,2018-02-20 14:50:03,2018-02-20 19:51:10
1,4,2018-02-20 19:51:16,2018-02-20 23:00:00
1,4,2018-02-20 22:50:04,2018-02-21 06:40:04
1,4,2018-02-21 06:30:04,2018-02-21 15:00:04
1,4,2018-02-21 14:50:04,2018-02-21 23:00:04
1,4,2018-02-21 22:50:04,2018-02-22 06:40:04
1,4,2018-02-22 06:30:04,2018-02-22 06:51:42
1,3,2018-02-22 06:51:45,2018-02-22 15:00:00
1,3,2018-02-22 14:50:03,2018-02-22 23:00:03
1,3,2018-02-22 22:50:03,2018-02-23 06:40:03
