DateTime_Out,Error_Count,Sum_Duration,Line
2018-01-10 14:00:00,22,862,4
2018-01-10 15:00:00,28,296,3
2018-01-10 15:00:00,29,328,4
2018-01-10 16:00:00,13,2760,3
2018-01-10 16:00:00,24,246,4
2018-01-10 17:00:00,34,656,3
2018-01-10 17:00:00,14,218,4
2018-01-10 18:00:00,29,656,3
2018-01-10 18:00:00,32,658,4
2018-01-10 19:00:00,22,442,3
2018-01-10 19:00:00,30,406,4
2018-01-10 20:00:00,12,122,3
2018-01-10 20:00:00,34,394,4
2018-01-10 21:00:00,16,194,3
2018-01-10 21:00:00,28,550,4
2018-01-10 22:00:00,16,290,3
2018-01-10 22:00:00,27,520,4
2018-01-10 23:00:00,42,458,3
2018-01-10 23:00:00,32,334,4
2018-01-11 00:00:00,15,298,3
2018-01-11 00:00:00,25,462,4
2018-01-11 01:00:00,10,118,3
2018-01-11 01:00:00,23,424,4
2018-01-11 02:00:00,12,166,3
2018-01-11 02:00:00,21,336,4
2018-01-11 03:00:00,17,136,3
2018-01-11 03:00:00,11,100,4
2018-01-11 04:00:00,15,150,3
2018-01-11 04:00:00,23,630,4
2018-01-11 05:00:00,14,208,3
2018-01-11 05:00:00,25,424,4
2018-01-11 06:00:00,15,176,3
2018-01-11 06:00:00,24,692,4
2018-01-11 07:00:00,16,284,3
2018-01-11 07:00:00,25,628,4
2018-01-11 08:00:00,23,380,3
2018-01-11 08:00:00,28,322,4
2018-01-11 09:00:00,28,624,3
2018-01-11 09:00:00,38,232,4
2018-01-11 10:00:00,6,56,3
2018-01-11 10:00:00,47,230,4
2018-01-11 11:00:00,13,168,3
2018-01-11 11:00:00,29,220,4
2018-01-11 12:00:00,6,56,3
2018-01-11 12:00:00,31,1696,4
2018-01-11 13:00:00,20,174,3
2018-01-11 13:00:00,27,1122,4
2018-01-11 14:00:00,20,1244,3
2018-01-11 14:00:00,23,426,4
2018-01-11 15:00:00,18,296,3
2018-01-11 15:00:00,33,318,4
2018-01-11 16:00:00,12,148,3
2018-01-11 16:00:00,18,582,4
2018-01-11 17:00:00,10,136,3
2018-01-11 17:00:00,15,378,4
2018-01-11 18:00:00,11,224,3
2018-01-11 18:00:00,19,1078,4
2018-01-11 19:00:00,7,98,3
2018-01-11 19:00:00,18,368,4
2018-01-11 20:00:00,7,82,3
2018-01-11 20:00:00,16,2830,4
2018-01-11 21:00:00,12,228,3
2018-01-11 21:00:00,5,64,4
2018-01-11 22:00:00,12,192,3
2018-01-11 22:00:00,17,330,4
2018-01-11 23:00:00,17,318,3
2018-01-11 23:00:00,16,156,4
2018-01-12 00:00:00,10,138,3
2018-01-12 00:00:00,16,150,4
2018-01-12 01:00:00,13,152,3
2018-01-12 01:00:00,24,252,4
2018-01-12 02:00:00,10,152,3
2018-01-12 02:00:00,20,278,4
2018-01-12 03:00:00,20,176,3
2018-01-12 03:00:00,31,654,4
2018-01-12 04:00:00,15,146,3
2018-01-12 04:00:00,36,718,4
2018-01-12 05:00:00,10,112,3
2018-01-12 05:00:00,37,418,4
2018-01-12 06:00:00,12,92,3
2018-01-12 06:00:00,12,202,4
2018-01-12 07:00:00,23,234,3
2018-01-12 07:00:00,22,382,4
2018-01-12 08:00:00,32,316,3
2018-01-12 08:00:00,21,566,4
2018-01-12 09:00:00,20,260,3
2018-01-12 09:00:00,25,220,4
2018-01-12 10:00:00,27,290,3
2018-01-12 10:00:00,35,3708,4
2018-01-12 11:00:00,37,402,3
2018-01-12 11:00:00,11,714,4
2018-01-12 12:00:00,20,262,3
2018-01-12 12:00:00,31,4662,4
2018-01-12 13:00:00,14,314,3
2018-01-12 13:00:00,20,1582,4
2018-01-12 14:00:00,15,182,3
2018-01-12 14:00:00,31,696,4
2018-01-12 15:00:00,13,6904,3
2018-01-12 15:00:00,14,118,4
2018-01-12 16:00:00,22,148,4
2018-01-12 17:00:00,1,5848,3
2018-01-12 17:00:00,10,214,4
2018-01-12 18:00:00,2,1858,3
2018-01-12 18:00:00,13,2638,4
2018-01-12 19:00:00,16,606,3
2018-01-12 19:00:00,32,394,4
2018-01-12 20:00:00,20,224,3
2018-01-12 20:00:00,29,348,4
2018-01-12 21:00:00,9,154,3
2018-01-12 21:00:00,30,3928,4
2018-01-12 22:00:00,11,202,3
2018-01-12 22:00:00,19,474,4
2018-01-12 23:00:00,17,168,3
2018-01-12 23:00:00,35,352,4
2018-01-13 00:00:00,11,162,3
2018-01-13 00:00:00,8,176,4
2018-01-13 01:00:00,12,284,3
2018-01-13 01:00:00,19,194,4
